no_kk,nik,nama,usia,jenis_kelamin,tempat_tanggal_lahir,pekerjaan,agama,pendidikan,status,shdk,alamat,rt,rw
3333333333333331,1234567890123021,Eko Wahyudi,48,Laki-laki,"Blitar, 10 Jan 1977",Wiraswasta,Islam,SMA,Kawin,Kepala Keluarga,Jl. Veteran No. 1,03,01
3333333333333331,1234567890123022,Lilis Suryani,45,Perempuan,"Blitar, 15 Feb 1980",Mengurus Rumah Tangga,Islam,SMA,Kawin,Istri,Jl. Veteran No. 1,03,01
3333333333333331,1234567890123023,Dina Mariana,20,Perempuan,"Blitar, 20 Mar 2005",Mahasiswa,Islam,SMA,Belum Kawin,Anak,Jl. Veteran No. 1,03,01
3333333333333331,1234567890123024,Rizki Aditya,18,Laki-laki,"Blitar, 25 Apr 2007",Pelajar,Islam,SMA,Belum Kawin,Anak,Jl. Veteran No. 1,03,01
3333333333333332,1234567890123025,Bambang Pamungkas,50,Laki-laki,"Blitar, 05 Mei 1975",TNI,Islam,SMA,Kawin,Kepala Keluarga,Jl. Imam Bonjol No. 5,03,01
3333333333333332,1234567890123026,Ratna Sari,48,Perempuan,"Blitar, 10 Jun 1977",PNS,Islam,S1,Kawin,Istri,Jl. Imam Bonjol No. 5,03,01
3333333333333333,1234567890123027,Heri Susanto,35,Laki-laki,"Blitar, 15 Jul 1990",Pegawai BUMN,Islam,S1,Kawin,Kepala Keluarga,Jl. Hasanuddin No. 2,03,01
3333333333333333,1234567890123028,Ayu Wandira,32,Perempuan,"Blitar, 20 Agu 1993",Mengurus Rumah Tangga,Islam,D3,Kawin,Istri,Jl. Hasanuddin No. 2,03,01
3333333333333334,1234567890123029,Kusuma Wardani,60,Laki-laki,"Blitar, 25 Sep 1965",Pensiunan,Islam,SMA,Cerai Mati,Kepala Keluarga,Jl. Teuku Umar No. 8,03,01
3333333333333335,1234567890123030,Dimas Anggara,28,Laki-laki,"Blitar, 30 Okt 1997",Pengusaha,Islam,S1,Belum Kawin,Kepala Keluarga,Jl. Pattimura No. 4,03,01
