no_kk,nik,nama,usia,jenis_kelamin,tempat_tanggal_lahir,pekerjaan,agama,pendidikan,status,shdk,alamat,rt,rw
1111111111111111,1234567890123001,Budi Santoso,45,Laki-laki,"Blitar, 10 Jan 1980",Petani,Islam,SMA,Kawin,Kepala Keluarga,Jl. Mawar No. 1,01,01
1111111111111111,1234567890123002,Siti Aminah,42,Perempuan,"Blitar, 15 Feb 1983",Ibu Rumah Tangga,Islam,SMA,Kawin,Istri,Jl. Mawar No. 1,01,01
1111111111111111,1234567890123003,Andi Saputra,20,Laki-laki,"Blitar, 20 Mar 2005",Mahasiswa,Islam,SMA,Belum Kawin,Anak,Jl. Mawar No. 1,01,01
1111111111111112,1234567890123004,Joko Anwar,50,Laki-laki,"Malang, 05 Mei 1975",Wiraswasta,Islam,S1,Kawin,Kepala Keluarga,Jl. Melati No. 5,01,01
1111111111111112,1234567890123005,Rini Yulianti,48,Perempuan,"Surabaya, 12 Jun 1977",Guru,Islam,S1,Kawin,Istri,Jl. Melati No. 5,01,01
1111111111111113,1234567890123006,Agus Prasetyo,35,Laki-laki,"Blitar, 25 Jul 1990",PNS,Islam,D3,Kawin,Kepala Keluarga,Jl. Anggrek No. 2,01,01
1111111111111113,1234567890123007,Dewi Lestari,32,Perempuan,"Blitar, 30 Agu 1993",Perawat,Islam,D3,Kawin,Istri,Jl. Anggrek No. 2,01,01
1111111111111114,1234567890123008,Tono Sudarmono,60,Laki-laki,"Blitar, 01 Sep 1965",Pensiunan,Islam,SMA,Kawin,Kepala Keluarga,Jl. Kenanga No. 8,01,01
1111111111111114,1234567890123009,Sri Wahyuni,58,Perempuan,"Blitar, 05 Okt 1967",Pensiunan,Islam,SMA,Kawin,Istri,Jl. Kenanga No. 8,01,01
1111111111111115,1234567890123010,Rizky Maulana,25,Laki-laki,"Blitar, 10 Nov 2000",Karyawan Swasta,Islam,S1,Belum Kawin,Kepala Keluarga,Jl. Cempaka No. 4,01,01
