no_kk,nik,nama,jenis_kelamin,tempat_tanggal_lahir,pekerjaan,agama,pendidikan,status,shdk,alamat,rt,rw
3505040000000001,3505000400000001,"Warga RT 04 No 1",Laki-laki,"Blitar, 24 Jan 1998",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000002,3505000400000002,"Warga RT 04 No 2",Perempuan,"Blitar, 9 Jan 2009",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000003,3505000400000003,"Warga RT 04 No 3",Laki-laki,"Blitar, 10 Jan 2001",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000004,3505000400000004,"Warga RT 04 No 4",Perempuan,"Blitar, 26 Jan 1955",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000005,3505000400000005,"Warga RT 04 No 5",Laki-laki,"Blitar, 18 Jan 1950",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000006,3505000400000006,"Warga RT 04 No 6",Perempuan,"Blitar, 20 Jan 1980",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000007,3505000400000007,"Warga RT 04 No 7",Laki-laki,"Blitar, 21 Jan 1961",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000008,3505000400000008,"Warga RT 04 No 8",Perempuan,"Blitar, 1 Jan 1993",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000009,3505000400000009,"Warga RT 04 No 9",Laki-laki,"Blitar, 20 Jan 2001",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000010,3505000400000010,"Warga RT 04 No 10",Perempuan,"Blitar, 8 Jan 1999",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000011,3505000400000011,"Warga RT 04 No 11",Laki-laki,"Blitar, 15 Jan 2009",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000012,3505000400000012,"Warga RT 04 No 12",Perempuan,"Blitar, 5 Jan 1955",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000013,3505000400000013,"Warga RT 04 No 13",Laki-laki,"Blitar, 27 Jan 1963",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000014,3505000400000014,"Warga RT 04 No 14",Perempuan,"Blitar, 4 Jan 1979",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000015,3505000400000015,"Warga RT 04 No 15",Laki-laki,"Blitar, 7 Jan 1966",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000016,3505000400000016,"Warga RT 04 No 16",Perempuan,"Blitar, 27 Jan 1958",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000017,3505000400000017,"Warga RT 04 No 17",Laki-laki,"Blitar, 2 Jan 1967",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000018,3505000400000018,"Warga RT 04 No 18",Perempuan,"Blitar, 2 Jan 1992",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000019,3505000400000019,"Warga RT 04 No 19",Laki-laki,"Blitar, 23 Jan 1990",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000020,3505000400000020,"Warga RT 04 No 20",Perempuan,"Blitar, 16 Jan 2004",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000021,3505000400000021,"Warga RT 04 No 21",Laki-laki,"Blitar, 28 Jan 1979",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000022,3505000400000022,"Warga RT 04 No 22",Perempuan,"Blitar, 10 Jan 1991",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000023,3505000400000023,"Warga RT 04 No 23",Laki-laki,"Blitar, 11 Jan 1996",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000024,3505000400000024,"Warga RT 04 No 24",Perempuan,"Blitar, 15 Jan 1974",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000025,3505000400000025,"Warga RT 04 No 25",Laki-laki,"Blitar, 16 Jan 2003",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000026,3505000400000026,"Warga RT 04 No 26",Perempuan,"Blitar, 1 Jan 2010",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000027,3505000400000027,"Warga RT 04 No 27",Laki-laki,"Blitar, 16 Jan 1951",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000028,3505000400000028,"Warga RT 04 No 28",Perempuan,"Blitar, 24 Jan 1971",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000029,3505000400000029,"Warga RT 04 No 29",Laki-laki,"Blitar, 8 Jan 1951",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000030,3505000400000030,"Warga RT 04 No 30",Perempuan,"Blitar, 20 Jan 1993",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000031,3505000400000031,"Warga RT 04 No 31",Laki-laki,"Blitar, 6 Jan 1978",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000032,3505000400000032,"Warga RT 04 No 32",Perempuan,"Blitar, 2 Jan 1985",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000033,3505000400000033,"Warga RT 04 No 33",Laki-laki,"Blitar, 16 Jan 1965",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000034,3505000400000034,"Warga RT 04 No 34",Perempuan,"Blitar, 19 Jan 1966",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000035,3505000400000035,"Warga RT 04 No 35",Laki-laki,"Blitar, 27 Jan 1987",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000036,3505000400000036,"Warga RT 04 No 36",Perempuan,"Blitar, 19 Jan 1983",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000037,3505000400000037,"Warga RT 04 No 37",Laki-laki,"Blitar, 23 Jan 2008",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000038,3505000400000038,"Warga RT 04 No 38",Perempuan,"Blitar, 22 Jan 2004",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000039,3505000400000039,"Warga RT 04 No 39",Laki-laki,"Blitar, 19 Jan 2003",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000040,3505000400000040,"Warga RT 04 No 40",Perempuan,"Blitar, 4 Jan 1999",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000041,3505000400000041,"Warga RT 04 No 41",Laki-laki,"Blitar, 3 Jan 1967",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000042,3505000400000042,"Warga RT 04 No 42",Perempuan,"Blitar, 11 Jan 1987",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000043,3505000400000043,"Warga RT 04 No 43",Laki-laki,"Blitar, 1 Jan 1952",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000044,3505000400000044,"Warga RT 04 No 44",Perempuan,"Blitar, 7 Jan 2004",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000045,3505000400000045,"Warga RT 04 No 45",Laki-laki,"Blitar, 14 Jan 1958",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000046,3505000400000046,"Warga RT 04 No 46",Perempuan,"Blitar, 22 Jan 1993",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000047,3505000400000047,"Warga RT 04 No 47",Laki-laki,"Blitar, 4 Jan 1953",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000048,3505000400000048,"Warga RT 04 No 48",Perempuan,"Blitar, 7 Jan 1969",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000049,3505000400000049,"Warga RT 04 No 49",Laki-laki,"Blitar, 22 Jan 1956",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000050,3505000400000050,"Warga RT 04 No 50",Perempuan,"Blitar, 6 Jan 1950",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000051,3505000400000051,"Warga RT 04 No 51",Laki-laki,"Blitar, 27 Jan 1975",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000052,3505000400000052,"Warga RT 04 No 52",Perempuan,"Blitar, 15 Jan 1950",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000053,3505000400000053,"Warga RT 04 No 53",Laki-laki,"Blitar, 17 Jan 1997",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000054,3505000400000054,"Warga RT 04 No 54",Perempuan,"Blitar, 5 Jan 2007",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000055,3505000400000055,"Warga RT 04 No 55",Laki-laki,"Blitar, 3 Jan 1984",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000056,3505000400000056,"Warga RT 04 No 56",Perempuan,"Blitar, 11 Jan 1968",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000057,3505000400000057,"Warga RT 04 No 57",Laki-laki,"Blitar, 25 Jan 1981",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000058,3505000400000058,"Warga RT 04 No 58",Perempuan,"Blitar, 11 Jan 1958",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000059,3505000400000059,"Warga RT 04 No 59",Laki-laki,"Blitar, 9 Jan 1978",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000060,3505000400000060,"Warga RT 04 No 60",Perempuan,"Blitar, 27 Jan 1963",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000061,3505000400000061,"Warga RT 04 No 61",Laki-laki,"Blitar, 12 Jan 1976",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
3505040000000062,3505000400000062,"Warga RT 04 No 62",Perempuan,"Blitar, 12 Jan 1998",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 04",04,01
